t,l,u,R,v,phi,x,y
1.26839e+11,0.333009,1.01083,4.72521e+07,1.67201,1.75561,-8.68314e+06,4.64475e+07
1.29232e+11,0.339292,1.02168,4.74736e+07,1.6847,1.76894,-9.34515e+06,4.65447e+07
1.31625e+11,0.345575,1.0324,4.76938e+07,1.69714,1.782,-9.99828e+06,4.6634e+07
1.34018e+11,0.351858,1.04299,4.79126e+07,1.70933,1.79479,-1.06428e+07,4.67157e+07
1.36411e+11,0.358142,1.05345,4.81302e+07,1.72127,1.80734,-1.12788e+07,4.679e+07
1.38805e+11,0.364425,1.06378,4.83464e+07,1.73298,1.81963,-1.19066e+07,4.68573e+07
1.41198e+11,0.370708,1.074,4.85613e+07,1.74447,1.83169,-1.25263e+07,4.69179e+07
1.43591e+11,0.376991,1.0841,4.87749e+07,1.75574,1.84353,-1.31382e+07,4.69721e+07
1.45984e+11,0.383274,1.09408,4.89872e+07,1.7668,1.85514,-1.37425e+07,4.70202e+07
1.48377e+11,0.389557,1.10395,4.91983e+07,1.77766,1.86655,-1.43392e+07,4.70623e+07
1.5077e+11,0.395841,1.11372,4.94081e+07,1.78833,1.87774,-1.49286e+07,4.70988e+07
1.53164e+11,0.402124,1.12338,4.96166e+07,1.7988,1.88874,-1.55109e+07,4.71298e+07
1.55557e+11,0.408407,1.13294,4.98239e+07,1.80909,1.89955,-1.60862e+07,4.71557e+07
1.5795e+11,0.41469,1.1424,5.003e+07,1.81921,1.91017,-1.66547e+07,4.71765e+07
1.60343e+11,0.420973,1.15176,5.02348e+07,1.82915,1.92061,-1.72166e+07,4.71925e+07
1.62736e+11,0.427257,1.16103,5.04384e+07,1.83893,1.93087,-1.77719e+07,4.72038e+07
1.6513e+11,0.43354,1.1702,5.06409e+07,1.84854,1.94097,-1.83208e+07,4.72107e+07
1.67523e+11,0.439823,1.17929,5.08421e+07,1.858,1.9509,-1.88635e+07,4.72132e+07
1.69916e+11,0.446106,1.18829,5.10421e+07,1.86731,1.96068,-1.94001e+07,4.72116e+07
1.72309e+11,0.452389,1.19721,5.1241e+07,1.87647,1.9703,-1.99307e+07,4.7206e+07
1.74702e+11,0.458673,1.20604,5.14387e+07,1.88549,1.97977,-2.04555e+07,4.71966e+07
1.77095e+11,0.464956,1.21479,5.16353e+07,1.89437,1.98909,-2.09745e+07,4.71834e+07
1.79489e+11,0.471239,1.22347,5.18307e+07,1.90312,1.99828,-2.14879e+07,4.71666e+07
1.81882e+11,0.477522,1.23206,5.2025e+07,1.91174,2.00732,-2.19959e+07,4.71464e+07
1.84275e+11,0.483805,1.24058,5.22181e+07,1.92023,2.01624,-2.24985e+07,4.71228e+07
1.86668e+11,0.490088,1.24903,5.24102e+07,1.92859,2.02502,-2.29958e+07,4.70959e+07
1.89061e+11,0.496372,1.25741,5.26012e+07,1.93684,2.03368,-2.34879e+07,4.70659e+07
1.91454e+11,0.502655,1.26571,5.2791e+07,1.94496,2.04221,-2.3975e+07,4.70329e+07
1.93848e+11,0.508938,1.27395,5.29798e+07,1.95298,2.05063,-2.44571e+07,4.6997e+07
1.96241e+11,0.515221,1.28212,5.31675e+07,1.96088,2.05893,-2.49343e+07,4.69582e+07
1.98634e+11,0.521504,1.29022,5.33542e+07,1.96868,2.06711,-2.54068e+07,4.69166e+07
2.01027e+11,0.527788,1.29826,5.35398e+07,1.97637,2.07519,-2.58745e+07,4.68724e+07
2.0342e+11,0.534071,1.30624,5.37244e+07,1.98396,2.08316,-2.63377e+07,4.68256e+07
2.05814e+11,0.540354,1.31415,5.39079e+07,1.99145,2.09102,-2.67963e+07,4.67763e+07
2.08207e+11,0.546637,1.32201,5.40904e+07,1.99884,2.09878,-2.72506e+07,4.67245e+07
2.106e+11,0.55292,1.3298,5.42719e+07,2.00614,2.10645,-2.77004e+07,4.66704e+07
2.12993e+11,0.559203,1.33754,5.44524e+07,2.01335,2.11401,-2.8146e+07,4.6614e+07
2.15386e+11,0.565487,1.34522,5.46319e+07,2.02046,2.12148,-2.85874e+07,4.65554e+07
2.17779e+11,0.57177,1.35284,5.48105e+07,2.02749,2.12886,-2.90247e+07,4.64947e+07
2.20173e+11,0.578053,1.36041,5.4988e+07,2.03443,2.13615,-2.94579e+07,4.64318e+07
2.22566e+11,0.584336,1.36793,5.51646e+07,2.04129,2.14335,-2.98871e+07,4.63669e+07
2.24959e+11,0.590619,1.3754,5.53402e+07,2.04806,2.15047,-3.03124e+07,4.63e+07
2.27352e+11,0.596903,1.38281,5.55148e+07,2.05476,2.1575,-3.07339e+07,4.62312e+07
2.29745e+11,0.603186,1.39017,5.56885e+07,2.06138,2.16445,-3.11516e+07,4.61605e+07
2.32139e+11,0.609469,1.39748,5.58613e+07,2.06792,2.17131,-3.15655e+07,4.6088e+07
2.34532e+11,0.615752,1.40475,5.60331e+07,2.07438,2.1781,-3.19758e+07,4.60137e+07
2.36925e+11,0.622035,1.41197,5.62041e+07,2.08078,2.18482,-3.23825e+07,4.59377e+07
2.39318e+11,0.628319,1.41914,5.63741e+07,2.0871,2.19146,-3.27856e+07,4.586e+07
2.41711e+11,0.634602,1.42626,5.65432e+07,2.09335,2.19802,-3.31853e+07,4.57807e+07
2.44104e+11,0.640885,1.43334,5.67114e+07,2.09954,2.20452,-3.35815e+07,4.56998e+07
2.46498e+11,0.647168,1.44037,5.68787e+07,2.10566,2.21094,-3.39743e+07,4.56173e+07
2.48891e+11,0.653451,1.44736,5.70452e+07,2.11171,2.2173,-3.43638e+07,4.55333e+07
2.51284e+11,0.659734,1.45431,5.72107e+07,2.1177,2.22358,-3.475e+07,4.54479e+07
2.53677e+11,0.666018,1.46122,5.73754e+07,2.12362,2.22981,-3.51329e+07,4.5361e+07
2.5607e+11,0.672301,1.46808,5.75393e+07,2.12949,2.23596,-3.55127e+07,4.52726e+07
2.58464e+11,0.678584,1.47491,5.77022e+07,2.13529,2.24206,-3.58894e+07,4.5183e+07
2.60857e+11,0.684867,1.48169,5.78644e+07,2.14104,2.24809,-3.62629e+07,4.5092e+07
