t,l,u,R,v,phi,x,y
1.5795e+12,4.1469,3.71375,8.01777e+07,3.43364,3.60533,-7.171e+07,-3.58627e+07
1.58189e+12,4.15319,3.71751,8.01287e+07,3.43564,3.60743,-7.15908e+07,-3.59912e+07
1.58429e+12,4.15947,3.72127,8.00794e+07,3.43765,3.60953,-7.14709e+07,-3.61194e+07
1.58668e+12,4.16575,3.72503,8.00297e+07,3.43965,3.61164,-7.13504e+07,-3.62475e+07
1.58907e+12,4.17204,3.7288,7.99798e+07,3.44166,3.61375,-7.12292e+07,-3.63753e+07
1.59147e+12,4.17832,3.73258,7.99294e+07,3.44368,3.61586,-7.11074e+07,-3.65028e+07
1.59386e+12,4.1846,3.73635,7.98788e+07,3.4457,3.61798,-7.09849e+07,-3.66302e+07
1.59625e+12,4.19088,3.74013,7.98278e+07,3.44772,3.6201,-7.08617e+07,-3.67573e+07
1.59865e+12,4.19717,3.74392,7.97765e+07,3.44974,3.62223,-7.07379e+07,-3.68841e+07
1.60104e+12,4.20345,3.74771,7.97248e+07,3.45177,3.62436,-7.06134e+07,-3.70108e+07
1.60343e+12,4.20973,3.7515,7.96728e+07,3.4538,3.62649,-7.04882e+07,-3.71372e+07
1.60582e+12,4.21602,3.7553,7.96205e+07,3.45584,3.62863,-7.03624e+07,-3.72634e+07
1.60822e+12,4.2223,3.7591,7.95678e+07,3.45788,3.63078,-7.02358e+07,-3.73893e+07
1.61061e+12,4.22858,3.7629,7.95148e+07,3.45993,3.63292,-7.01087e+07,-3.7515e+07
1.613e+12,4.23487,3.76671,7.94614e+07,3.46198,3.63507,-6.99808e+07,-3.76405e+07
1.6154e+12,4.24115,3.77052,7.94077e+07,3.46403,3.63723,-6.98523e+07,-3.77657e+07
1.61779e+12,4.24743,3.77434,7.93537e+07,3.46609,3.63939,-6.97231e+07,-3.78907e+07
1.62018e+12,4.25372,3.77816,7.92993e+07,3.46815,3.64155,-6.95932e+07,-3.80155e+07
1.62258e+12,4.26,3.78199,7.92446e+07,3.47021,3.64372,-6.94626e+07,-3.814e+07
1.62497e+12,4.26628,3.78582,7.91896e+07,3.47228,3.6459,-6.93313e+07,-3.82642e+07
1.62736e+12,4.27257,3.78965,7.91341e+07,3.47436,3.64807,-6.91994e+07,-3.83882e+07
1.62976e+12,4.27885,3.79349,7.90784e+07,3.47643,3.65026,-6.90668e+07,-3.8512e+07
1.63215e+12,4.28513,3.79733,7.90223e+07,3.47852,3.65244,-6.89335e+07,-3.86355e+07
1.63454e+12,4.29142,3.80118,7.89659e+07,3.4806,3.65463,-6.87995e+07,-3.87587e+07
1.63694e+12,4.2977,3.80503,7.89091e+07,3.48269,3.65683,-6.86648e+07,-3.88817e+07
1.63933e+12,4.30398,3.80889,7.88519e+07,3.48479,3.65903,-6.85294e+07,-3.90045e+07
1.64172e+12,4.31027,3.81275,7.87945e+07,3.48689,3.66124,-6.83933e+07,-3.9127e+07
1.64412e+12,4.31655,3.81662,7.87366e+07,3.489,3.66345,-6.82565e+07,-3.92492e+07
1.64651e+12,4.32283,3.82049,7.86784e+07,3.49111,3.66566,-6.81191e+07,-3.93712e+07
1.6489e+12,4.32911,3.82436,7.86199e+07,3.49322,3.66788,-6.79809e+07,-3.94929e+07
1.6513e+12,4.3354,3.82824,7.8561e+07,3.49534,3.6701,-6.7842e+07,-3.96143e+07
1.65369e+12,4.34168,3.83212,7.85018e+07,3.49746,3.67233,-6.77024e+07,-3.97355e+07
1.65608e+12,4.34796,3.83601,7.84422e+07,3.49959,3.67457,-6.75622e+07,-3.98564e+07
1.65847e+12,4.35425,3.83991,7.83823e+07,3.50172,3.67681,-6.74212e+07,-3.9977e+07
1.66087e+12,4.36053,3.8438,7.8322e+07,3.50386,3.67905,-6.72795e+07,-4.00974e+07
1.66326e+12,4.36681,3.84771,7.82613e+07,3.506,3.6813,-6.71371e+07,-4.02175e+07
1.66565e+12,4.3731,3.85162,7.82003e+07,3.50815,3.68356,-6.69939e+07,-4.03374e+07
1.66805e+12,4.37938,3.85553,7.8139e+07,3.5103,3.68582,-6.68501e+07,-4.04569e+07
1.67044e+12,4.38566,3.85945,7.80772e+07,3.51246,3.68808,-6.67055e+07,-4.05762e+07
1.67283e+12,4.39195,3.86337,7.80152e+07,3.51462,3.69036,-6.65603e+07,-4.06952e+07
1.67523e+12,4.39823,3.8673,7.79527e+07,3.51679,3.69263,-6.64143e+07,-4.08139e+07
1.67762e+12,4.40451,3.87123,7.789e+07,3.51896,3.69491,-6.62675e+07,-4.09324e+07
1.68001e+12,4.4108,3.87517,7.78268e+07,3.52114,3.6972,-6.61201e+07,-4.10505e+07
1.68241e+12,4.41708,3.87911,7.77633e+07,3.52333,3.69949,-6.59719e+07,-4.11684e+07
1.6848e+12,4.42336,3.88306,7.76994e+07,3.52552,3.70179,-6.5823e+07,-4.1286e+07
1.68719e+12,4.42965,3.88702,7.76352e+07,3.52771,3.7041,-6.56734e+07,-4.14033e+07
1.68959e+12,4.43593,3.89098,7.75706e+07,3.52991,3.70641,-6.5523e+07,-4.15203e+07
1.69198e+12,4.44221,3.89494,7.75056e+07,3.53212,3.70872,-6.53719e+07,-4.1637e+07
1.69437e+12,4.4485,3.89891,7.74403e+07,3.53433,3.71104,-6.52201e+07,-4.17534e+07
1.69677e+12,4.45478,3.90289,7.73746e+07,3.53654,3.71337,-6.50675e+07,-4.18695e+07
1.69916e+12,4.46106,3.90687,7.73085e+07,3.53876,3.7157,-6.49141e+07,-4.19853e+07
1.70155e+12,4.46734,3.91086,7.72421e+07,3.54099,3.71804,-6.47601e+07,-4.21008e+07
1.70394e+12,4.47363,3.91485,7.71753e+07,3.54323,3.72039,-6.46052e+07,-4.2216e+07
1.70634e+12,4.47991,3.91885,7.71082e+07,3.54546,3.72274,-6.44497e+07,-4.23309e+07
1.70873e+12,4.48619,3.92285,7.70406e+07,3.54771,3.7251,-6.42933e+07,-4.24455e+07
1.71112e+12,4.49248,3.92686,7.69727e+07,3.54996,3.72746,-6.41363e+07,-4.25598e+07
1.71352e+12,4.49876,3.93088,7.69044e+07,3.55222,3.72983,-6.39784e+07,-4.26738e+07
1.71591e+12,4.50504,3.9349,7.68358e+07,3.55448,3.7322,-6.38198e+07,-4.27875e+07
1.7183e+12,4.51133,3.93893,7.67668e+07,3.55675,3.73459,-6.36605e+07,-4.29008e+07
1.7207e+12,4.51761,3.94296,7.66974e+07,3.55902,3.73698,-6.35003e+07,-4.30139e+07
1.72309e+12,4.52389,3.947,7.66276e+07,3.56131,3.73937,-6.33394e+07,-4.31266e+07
1.72548e+12,4.53018,3.95105,7.65574e+07,3.56359,3.74177,-6.31778e+07,-4.3239e+07
1.72788e+12,4.53646,3.9551,7.64869e+07,3.56589,3.74418,-6.30153e+07,-4.3351e+07
1.73027e+12,4.54274,3.95916,7.6416e+07,3.56819,3.7466,-6.28521e+07,-4.34628e+07
1.73266e+12,4.54903,3.96322,7.63447e+07,3.57049,3.74902,-6.26881e+07,-4.35742e+07
1.73506e+12,4.55531,3.96729,7.6273e+07,3.57281,3.75145,-6.25234e+07,-4.36853e+07
1.73745e+12,4.56159,3.97137,7.6201e+07,3.57513,3.75388,-6.23578e+07,-4.3796e+07
1.73984e+12,4.56788,3.97545,7.61286e+07,3.57745,3.75633,-6.21915e+07,-4.39064e+07
1.74224e+12,4.57416,3.97954,7.60557e+07,3.57979,3.75878,-6.20244e+07,-4.40165e+07
1.74463e+12,4.58044,3.98364,7.59825e+07,3.58213,3.76123,-6.18564e+07,-4.41263e+07
1.74702e+12,4.58673,3.98774,7.59089e+07,3.58447,3.7637,-6.16877e+07,-4.42357e+07
1.74942e+12,4.59301,3.99185,7.5835e+07,3.58683,3.76617,-6.15182e+07,-4.43447e+07
1.75181e+12,4.59929,3.99596,7.57606e+07,3.58919,3.76865,-6.13479e+07,-4.44534e+07
1.7542e+12,4.60557,4.00009,7.56859e+07,3.59155,3.77113,-6.11768e+07,-4.45617e+07
1.75659e+12,4.61186,4.00422,7.56107e+07,3.59393,3.77363,-6.10049e+07,-4.46697e+07
1.75899e+12,4.61814,4.00835,7.55352e+07,3.59631,3.77613,-6.08321e+07,-4.47774e+07
1.76138e+12,4.62442,4.0125,7.54593e+07,3.5987,3.77863,-6.06586e+07,-4.48847e+07
1.76377e+12,4.63071,4.01665,7.53829e+07,3.6011,3.78115,-6.04843e+07,-4.49916e+07
1.76617e+12,4.63699,4.0208,7.53062e+07,3.6035,3.78367,-6.03091e+07,-4.50982e+07
1.76856e+12,4.64327,4.02497,7.52291e+07,3.60591,3.78621,-6.01331e+07,-4.52044e+07
1.77095e+12,4.64956,4.02914,7.51516e+07,3.60833,3.78874,-5.99563e+07,-4.53102e+07
1.77335e+12,4.65584,4.03332,7.50737e+07,3.61075,3.79129,-5.97786e+07,-4.54156e+07
1.77574e+12,4.66212,4.0375,7.49954e+07,3.61319,3.79385,-5.96001e+07,-4.55207e+07
1.77813e+12,4.66841,4.04169,7.49167e+07,3.61563,3.79641,-5.94208e+07,-4.56254e+07
1.78053e+12,4.67469,4.04589,7.48376e+07,3.61808,3.79898,-5.92407e+07,-4.57298e+07
1.78292e+12,4.68097,4.0501,7.47581e+07,3.62054,3.80156,-5.90597e+07,-4.58337e+07
1.78531e+12,4.68726,4.05432,7.46782e+07,3.623,3.80415,-5.88779e+07,-4.59373e+07
1.78771e+12,4.69354,4.05854,7.45979e+07,3.62547,3.80675,-5.86952e+07,-4.60404e+07
1.7901e+12,4.69982,4.06277,7.45172e+07,3.62796,3.80935,-5.85117e+07,-4.61432e+07
1.79249e+12,4.70611,4.06701,7.44361e+07,3.63045,3.81197,-5.83273e+07,-4.62456e+07
1.79489e+12,4.71239,4.07125,7.43545e+07,3.63294,3.81459,-5.8142e+07,-4.63476e+07
1.79728e+12,4.71867,4.07551,7.42726e+07,3.63545,3.81722,-5.79559e+07,-4.64492e+07
1.79967e+12,4.72496,4.07977,7.41902e+07,3.63796,3.81986,-5.77689e+07,-4.65504e+07
1.80207e+12,4.73124,4.08404,7.41074e+07,3.64049,3.82251,-5.75811e+07,-4.66511e+07
1.80446e+12,4.73752,4.08832,7.40243e+07,3.64302,3.82517,-5.73924e+07,-4.67515e+07
1.80685e+12,4.7438,4.0926,7.39407e+07,3.64556,3.82784,-5.72028e+07,-4.68515e+07
1.80924e+12,4.75009,4.0969,7.38567e+07,3.64811,3.83051,-5.70123e+07,-4.6951e+07
1.81164e+12,4.75637,4.1012,7.37722e+07,3.65067,3.8332,-5.6821e+07,-4.70501e+07
1.81403e+12,4.76265,4.10551,7.36874e+07,3.65323,3.8359,-5.66287e+07,-4.71488e+07
1.81642e+12,4.76894,4.10983,7.36021e+07,3.65581,3.8386,-5.64356e+07,-4.72471e+07
1.81882e+12,4.77522,4.11416,7.35164e+07,3.6584,3.84132,-5.62416e+07,-4.7345e+07
1.82121e+12,4.7815,4.11849,7.34303e+07,3.66099,3.84404,-5.60467e+07,-4.74424e+07
1.8236e+12,4.78779,4.12284,7.33438e+07,3.66359,3.84677,-5.58508e+07,-4.75394e+07
1.826e+12,4.79407,4.12719,7.32568e+07,3.66621,3.84952,-5.56541e+07,-4.76359e+07
1.82839e+12,4.80035,4.13155,7.31694e+07,3.66883,3.85227,-5.54564e+07,-4.7732e+07
1.83078e+12,4.80664,4.13592,7.30816e+07,3.67146,3.85504,-5.52579e+07,-4.78276e+07
1.83318e+12,4.81292,4.1403,7.29933e+07,3.67411,3.85781,-5.50584e+07,-4.79228e+07
1.83557e+12,4.8192,4.14469,7.29046e+07,3.67676,3.8606,-5.4858e+07,-4.80176e+07
1.83796e+12,4.82549,4.14909,7.28155e+07,3.67942,3.86339,-5.46566e+07,-4.81119e+07
1.84036e+12,4.83177,4.1535,7.2726e+07,3.68209,3.8662,-5.44544e+07,-4.82057e+07
1.84275e+12,4.83805,4.15791,7.2636e+07,3.68478,3.86901,-5.42511e+07,-4.8299e+07
1.84514e+12,4.84434,4.16234,7.25455e+07,3.68747,3.87184,-5.4047e+07,-4.83919e+07
1.84754e+12,4.85062,4.16677,7.24547e+07,3.69017,3.87468,-5.38419e+07,-4.84843e+07
1.84993e+12,4.8569,4.17122,7.23634e+07,3.69289,3.87753,-5.36358e+07,-4.85763e+07
1.85232e+12,4.86319,4.17567,7.22716e+07,3.69561,3.88039,-5.34288e+07,-4.86677e+07
1.85472e+12,4.86947,4.18014,7.21794e+07,3.69835,3.88326,-5.32209e+07,-4.87587e+07
1.85711e+12,4.87575,4.18461,7.20868e+07,3.70109,3.88615,-5.30119e+07,-4.88492e+07
1.8595e+12,4.88203,4.18909,7.19937e+07,3.70385,3.88904,-5.2802e+07,-4.89391e+07
1.86189e+12,4.88832,4.19359,7.19002e+07,3.70662,3.89195,-5.25911e+07,-4.90286e+07
1.86429e+12,4.8946,4.19809,7.18062e+07,3.7094,3.89487,-5.23793e+07,-4.91176e+07
1.86668e+12,4.90088,4.2026,7.17117e+07,3.71219,3.8978,-5.21664e+07,-4.92061e+07
1.86907e+12,4.90717,4.20713,7.16168e+07,3.71499,3.90074,-5.19526e+07,-4.9294e+07
1.87147e+12,4.91345,4.21166,7.15215e+07,3.7178,3.90369,-5.17377e+07,-4.93815e+07
1.87386e+12,4.91973,4.21621,7.14257e+07,3.72063,3.90666,-5.15219e+07,-4.94684e+07
1.87625e+12,4.92602,4.22076,7.13294e+07,3.72347,3.90964,-5.1305e+07,-4.95548e+07
1.87865e+12,4.9323,4.22533,7.12327e+07,3.72632,3.91263,-5.10872e+07,-4.96407e+07
1.88104e+12,4.93858,4.22991,7.11355e+07,3.72918,3.91564,-5.08683e+07,-4.9726e+07
1.88343e+12,4.94487,4.23449,7.10379e+07,3.73205,3.91865,-5.06484e+07,-4.98108e+07
1.88583e+12,4.95115,4.23909,7.09397e+07,3.73494,3.92168,-5.04275e+07,-4.9895e+07
1.88822e+12,4.95743,4.2437,7.08411e+07,3.73784,3.92473,-5.02055e+07,-4.99787e+07
1.89061e+12,4.96372,4.24832,7.07421e+07,3.74075,3.92778,-4.99825e+07,-5.00619e+07
1.89301e+12,4.97,4.25296,7.06426e+07,3.74367,3.93085,-4.97585e+07,-5.01444e+07
1.8954e+12,4.97628,4.2576,7.05425e+07,3.74661,3.93394,-4.95334e+07,-5.02265e+07
1.89779e+12,4.98257,4.26225,7.04421e+07,3.74956,3.93704,-4.93072e+07,-5.03079e+07
1.90019e+12,4.98885,4.26692,7.03411e+07,3.75252,3.94015,-4.908e+07,-5.03888e+07
1.90258e+12,4.99513,4.2716,7.02397e+07,3.7555,3.94327,-4.88517e+07,-5.0469e+07
1.90497e+12,5.00142,4.27629,7.01378e+07,3.75849,3.94641,-4.86223e+07,-5.05487e+07
1.90737e+12,5.0077,4.28099,7.00354e+07,3.76149,3.94957,-4.83919e+07,-5.06278e+07
1.90976e+12,5.01398,4.28571,6.99325e+07,3.76451,3.95274,-4.81603e+07,-5.07063e+07
1.91215e+12,5.02027,4.29043,6.98291e+07,3.76754,3.95592,-4.79277e+07,-5.07842e+07
1.91454e+12,5.02655,4.29517,6.97252e+07,3.77059,3.95912,-4.7694e+07,-5.08615e+07
1.91694e+12,5.03283,4.29992,6.96209e+07,3.77365,3.96233,-4.74591e+07,-5.09382e+07
1.91933e+12,5.03911,4.30469,6.9516e+07,3.77673,3.96556,-4.72232e+07,-5.10142e+07
1.92172e+12,5.0454,4.30946,6.94107e+07,3.77982,3.96881,-4.69861e+07,-5.10896e+07
1.92412e+12,5.05168,4.31425,6.93048e+07,3.78292,3.97207,-4.67479e+07,-5.11644e+07
1.92651e+12,5.05796,4.31906,6.91985e+07,3.78604,3.97534,-4.65085e+07,-5.12385e+07
1.9289e+12,5.06425,4.32387,6.90916e+07,3.78918,3.97864,-4.6268e+07,-5.1312e+07
1.9313e+12,5.07053,4.3287,6.89843e+07,3.79233,3.98194,-4.60264e+07,-5.13848e+07
1.93369e+12,5.07681,4.33354,6.88764e+07,3.79549,3.98527,-4.57836e+07,-5.1457e+07
1.93608e+12,5.0831,4.3384,6.8768e+07,3.79868,3.98861,-4.55396e+07,-5.15285e+07
1.93848e+12,5.08938,4.34327,6.86592e+07,3.80187,3.99197,-4.52945e+07,-5.15993e+07
1.94087e+12,5.09566,4.34815,6.85498e+07,3.80509,3.99534,-4.50482e+07,-5.16695e+07
1.94326e+12,5.10195,4.35304,6.84399e+07,3.80832,3.99874,-4.48007e+07,-5.17389e+07
1.94566e+12,5.10823,4.35796,6.83294e+07,3.81157,4.00215,-4.4552e+07,-5.18076e+07
1.94805e+12,5.11451,4.36288,6.82185e+07,3.81483,4.00557,-4.43021e+07,-5.18757e+07
1.95044e+12,5.1208,4.36782,6.8107e+07,3.81811,4.00902,-4.4051e+07,-5.1943e+07
1.95284e+12,5.12708,4.37277,6.7995e+07,3.82141,4.01248,-4.37986e+07,-5.20096e+07
1.95523e+12,5.13336,4.37774,6.78825e+07,3.82473,4.01597,-4.3545e+07,-5.20755e+07
1.95762e+12,5.13965,4.38272,6.77694e+07,3.82806,4.01947,-4.32902e+07,-5.21407e+07
1.96002e+12,5.14593,4.38772,6.76558e+07,3.83142,4.02299,-4.30342e+07,-5.2205e+07
1.96241e+12,5.15221,4.39274,6.75417e+07,3.83479,4.02653,-4.27769e+07,-5.22687e+07
1.9648e+12,5.1585,4.39776,6.7427e+07,3.83818,4.03008,-4.25183e+07,-5.23316e+07
1.96719e+12,5.16478,4.40281,6.73118e+07,3.84158,4.03366,-4.22585e+07,-5.23937e+07
1.96959e+12,5.17106,4.40787,6.71961e+07,3.84501,4.03726,-4.19974e+07,-5.2455e+07
1.97198e+12,5.17734,4.41294,6.70798e+07,3.84846,4.04088,-4.1735e+07,-5.25156e+07
1.97437e+12,5.18363,4.41804,6.69629e+07,3.85192,4.04452,-4.14713e+07,-5.25753e+07
1.97677e+12,5.18991,4.42314,6.68455e+07,3.85541,4.04818,-4.12062e+07,-5.26343e+07
1.97916e+12,5.19619,4.42827,6.67275e+07,3.85891,4.05186,-4.09399e+07,-5.26924e+07
1.98155e+12,5.20248,4.43341,6.6609e+07,3.86243,4.05556,-4.06722e+07,-5.27497e+07
1.98395e+12,5.20876,4.43857,6.64899e+07,3.86598,4.05928,-4.04032e+07,-5.28062e+07
1.98634e+12,5.21504,4.44374,6.63703e+07,3.86955,4.06302,-4.01329e+07,-5.28618e+07
1.98873e+12,5.22133,4.44893,6.62501e+07,3.87313,4.06679,-3.98612e+07,-5.29166e+07
1.99113e+12,5.22761,4.45414,6.61293e+07,3.87674,4.07058,-3.95881e+07,-5.29705e+07
1.99352e+12,5.23389,4.45937,6.6008e+07,3.88037,4.07439,-3.93136e+07,-5.30235e+07
1.99591e+12,5.24018,4.46461,6.58861e+07,3.88402,4.07822,-3.90378e+07,-5.30756e+07
1.99831e+12,5.24646,4.46987,6.57636e+07,3.8877,4.08208,-3.87605e+07,-5.31269e+07
2.0007e+12,5.25274,4.47515,6.56405e+07,3.89139,4.08596,-3.84818e+07,-5.31772e+07
2.00309e+12,5.25903,4.48045,6.55168e+07,3.89511,4.08987,-3.82018e+07,-5.32267e+07
2.00549e+12,5.26531,4.48576,6.53925e+07,3.89886,4.0938,-3.79202e+07,-5.32751e+07
2.00788e+12,5.27159,4.4911,6.52677e+07,3.90262,4.09775,-3.76373e+07,-5.33227e+07
2.01027e+12,5.27788,4.49645,6.51422e+07,3.90641,4.10173,-3.73528e+07,-5.33693e+07
2.01267e+12,5.28416,4.50183,6.50162e+07,3.91023,4.10574,-3.70669e+07,-5.34149e+07
2.01506e+12,5.29044,4.50722,6.48896e+07,3.91407,4.10977,-3.67795e+07,-5.34595e+07
2.01745e+12,5.29673,4.51263,6.47623e+07,3.91793,4.11383,-3.64906e+07,-5.35032e+07
2.01984e+12,5.30301,4.51807,6.46345e+07,3.92182,4.11791,-3.62002e+07,-5.35458e+07
2.02224e+12,5.30929,4.52352,6.4506e+07,3.92573,4.12202,-3.59083e+07,-5.35875e+07
2.02463e+12,5.31557,4.52899,6.43769e+07,3.92968,4.12616,-3.56149e+07,-5.36281e+07
2.02702e+12,5.32186,4.53448,6.42472e+07,3.93364,4.13032,-3.53199e+07,-5.36676e+07
2.02942e+12,5.32814,4.54,6.41169e+07,3.93764,4.13452,-3.50233e+07,-5.37061e+07
2.03181e+12,5.33442,4.54553,6.39859e+07,3.94166,4.13874,-3.47252e+07,-5.37435e+07
2.0342e+12,5.34071,4.55109,6.38544e+07,3.94571,4.14299,-3.44254e+07,-5.37798e+07
2.0366e+12,5.34699,4.55667,6.37222e+07,3.94978,4.14727,-3.41241e+07,-5.3815e+07
2.03899e+12,5.35327,4.56227,6.35893e+07,3.95389,4.15158,-3.38212e+07,-5.38491e+07
2.04138e+12,5.35956,4.56789,6.34558e+07,3.95802,4.15592,-3.35166e+07,-5.38821e+07
2.04378e+12,5.36584,4.57354,6.33217e+07,3.96219,4.1603,-3.32103e+07,-5.39139e+07
2.04617e+12,5.37212,4.57921,6.31869e+07,3.96638,4.1647,-3.29024e+07,-5.39445e+07
2.04856e+12,5.37841,4.5849,6.30515e+07,3.9706,4.16913,-3.25929e+07,-5.3974e+07
2.05096e+12,5.38469,4.59061,6.29154e+07,3.97486,4.1736,-3.22816e+07,-5.40023e+07
2.05335e+12,5.39097,4.59635,6.27786e+07,3.97914,4.1781,-3.19686e+07,-5.40293e+07
2.05574e+12,5.39726,4.60212,6.26412e+07,3.98346,4.18264,-3.16539e+07,-5.40551e+07
2.05814e+12,5.40354,4.6079,6.25031e+07,3.98781,4.1872,-3.13375e+07,-5.40796e+07
2.06053e+12,5.40982,4.61371,6.23644e+07,3.99219,4.1918,-3.10192e+07,-5.41029e+07
2.06292e+12,5.41611,4.61955,6.22249e+07,3.99661,4.19644,-3.06992e+07,-5.41248e+07
2.06532e+12,5.42239,4.62541,6.20848e+07,4.00106,4.20111,-3.03775e+07,-5.41455e+07
2.06771e+12,5.42867,4.6313,6.1944e+07,4.00555,4.20582,-3.00538e+07,-5.41648e+07
2.0701e+12,5.43496,4.63721,6.18025e+07,4.01006,4.21057,-2.97284e+07,-5.41827e+07
2.07249e+12,5.44124,4.64316,6.16603e+07,4.01462,4.21535,-2.94011e+07,-5.41993e+07
2.07489e+12,5.44752,4.64912,6.15174e+07,4.01921,4.22017,-2.9072e+07,-5.42145e+07
2.07728e+12,5.4538,4.65512,6.13738e+07,4.02384,4.22503,-2.87409e+07,-5.42282e+07
2.07967e+12,5.46009,4.66114,6.12295e+07,4.02851,4.22993,-2.84079e+07,-5.42406e+07
2.08207e+12,5.46637,4.66719,6.10844e+07,4.03321,4.23487,-2.8073e+07,-5.42514e+07
2.08446e+12,5.47265,4.67327,6.09387e+07,4.03795,4.23985,-2.77362e+07,-5.42607e+07
2.08685e+12,5.47894,4.67937,6.07922e+07,4.04273,4.24487,-2.73974e+07,-5.42686e+07
2.08925e+12,5.48522,4.68551,6.0645e+07,4.04756,4.24993,-2.70566e+07,-5.42749e+07
2.09164e+12,5.4915,4.69168,6.04971e+07,4.05242,4.25504,-2.67138e+07,-5.42796e+07
2.09403e+12,5.49779,4.69787,6.03484e+07,4.05732,4.26019,-2.63689e+07,-5.42827e+07
2.09643e+12,5.50407,4.7041,6.0199e+07,4.06227,4.26538,-2.6022e+07,-5.42842e+07
2.09882e+12,5.51035,4.71036,6.00488e+07,4.06726,4.27062,-2.5673e+07,-5.42841e+07
2.10121e+12,5.51664,4.71664,5.98979e+07,4.0723,4.27591,-2.53218e+07,-5.42822e+07
2.10361e+12,5.52292,4.72296,5.97462e+07,4.07738,4.28124,-2.49686e+07,-5.42787e+07
2.106e+12,5.5292,4.72932,5.95937e+07,4.0825,4.28663,-2.46132e+07,-5.42734e+07
2.10839e+12,5.53549,4.7357,5.94405e+07,4.08767,4.29205,-2.42556e+07,-5.42664e+07
2.11079e+12,5.54177,4.74212,5.92865e+07,4.09289,4.29753,-2.38958e+07,-5.42575e+07
2.11318e+12,5.54805,4.74858,5.91317e+07,4.09816,4.30306,-2.35338e+07,-5.42468e+07
2.11557e+12,5.55434,4.75506,5.89761e+07,4.10347,4.30865,-2.31695e+07,-5.42343e+07
2.11797e+12,5.56062,4.76159,5.88197e+07,4.10884,4.31428,-2.2803e+07,-5.42198e+07
2.12036e+12,5.5669,4.76815,5.86625e+07,4.11426,4.31997,-2.24341e+07,-5.42034e+07
2.12275e+12,5.57319,4.77474,5.85045e+07,4.11973,4.32571,-2.20628e+07,-5.4185e+07
2.12514e+12,5.57947,4.78137,5.83457e+07,4.12525,4.33151,-2.16892e+07,-5.41646e+07
2.12754e+12,5.58575,4.78804,5.81861e+07,4.13082,4.33737,-2.13132e+07,-5.41421e+07
2.12993e+12,5.59203,4.79475,5.80257e+07,4.13646,4.34328,-2.09348e+07,-5.41176e+07
2.13232e+12,5.59832,4.80149,5.78644e+07,4.14214,4.34925,-2.05539e+07,-5.40909e+07
2.13472e+12,5.6046,4.80828,5.77022e+07,4.14789,4.35529,-2.01705e+07,-5.4062e+07
2.13711e+12,5.61088,4.8151,5.75393e+07,4.1537,4.36138,-1.97846e+07,-5.40309e+07
2.1395e+12,5.61717,4.82197,5.73754e+07,4.15956,4.36754,-1.93961e+07,-5.39975e+07
2.1419e+12,5.62345,4.82887,5.72107e+07,4.16549,4.37376,-1.9005e+07,-5.39618e+07
2.14429e+12,5.62973,4.83582,5.70452e+07,4.17148,4.38005,-1.86113e+07,-5.39237e+07
2.14668e+12,5.63602,4.84281,5.68787e+07,4.17753,4.3864,-1.82149e+07,-5.38833e+07
2.14908e+12,5.6423,4.84985,5.67114e+07,4.18365,4.39283,-1.78159e+07,-5.38403e+07
2.15147e+12,5.64858,4.85693,5.65432e+07,4.18983,4.39932,-1.7414e+07,-5.37948e+07
2.15386e+12,5.65487,4.86405,5.63741e+07,4.19608,4.40589,-1.70094e+07,-5.37468e+07
2.15626e+12,5.66115,4.87122,5.62041e+07,4.20241,4.41253,-1.6602e+07,-5.36961e+07
2.15865e+12,5.66743,4.87844,5.60331e+07,4.2088,4.41924,-1.61918e+07,-5.36427e+07
2.16104e+12,5.67372,4.8857,5.58613e+07,4.21527,4.42603,-1.57786e+07,-5.35866e+07
2.16344e+12,5.68,4.89301,5.56885e+07,4.22181,4.4329,-1.53625e+07,-5.35276e+07
2.16583e+12,5.68628,4.90038,5.55148e+07,4.22843,4.43985,-1.49435e+07,-5.34658e+07
2.16822e+12,5.69257,4.90779,5.53402e+07,4.23512,4.44688,-1.45214e+07,-5.3401e+07
2.17062e+12,5.69885,4.91525,5.51646e+07,4.2419,4.45399,-1.40962e+07,-5.33332e+07
2.17301e+12,5.70513,4.92277,5.4988e+07,4.24876,4.46119,-1.36679e+07,-5.32622e+07
2.1754e+12,5.71142,4.93034,5.48105e+07,4.2557,4.46848,-1.32365e+07,-5.31882e+07
2.17779e+12,5.7177,4.93797,5.46319e+07,4.26272,4.47586,-1.28018e+07,-5.31108e+07
2.18019e+12,5.72398,4.94565,5.44524e+07,4.26984,4.48333,-1.23639e+07,-5.30302e+07
2.18258e+12,5.73027,4.95338,5.42719e+07,4.27705,4.4909,-1.19227e+07,-5.29461e+07
2.18497e+12,5.73655,4.96118,5.40904e+07,4.28434,4.49856,-1.14782e+07,-5.28586e+07
2.18737e+12,5.74283,4.96903,5.39079e+07,4.29174,4.50632,-1.10302e+07,-5.27674e+07
2.18976e+12,5.74911,4.97695,5.37244e+07,4.29923,4.51419,-1.05787e+07,-5.26726e+07
2.19215e+12,5.7554,4.98492,5.35398e+07,4.30681,4.52216,-1.01238e+07,-5.2574e+07
2.19455e+12,5.76168,4.99296,5.33542e+07,4.31451,4.53023,-9.66523e+06,-5.24715e+07
2.19694e+12,5.76796,5.00107,5.31675e+07,4.3223,4.53842,-9.20306e+06,-5.2365e+07
